LSE InSchedule and NSPL Activity Summary
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 11:59:37 AM
Start Month:,"February, 2018",End Month:,"February, 2018"
4000.01,4000.02,4000.03,3002.01,3002.02,4000.07
Customer ID,Customer Code,Month,InSchedule Load In Multiple Zones (Y/N),NSPL In Multiple Zones (Y/N),Version
12049,CHMPN,"February, 2018",Y,Y,20180201.000
20760,CHMPOE,"February, 2018",,N,20180201.000
20762,CHMPPP,"February, 2018",,N,20180201.000
20761,CHMPTE,"February, 2018",,N,20180201.000
40203,CLRAEP,"February, 2018",N,,20180201.000
29906,CLRVDC,"February, 2018",N,N,20180201.000
29908,CLRVDE,"February, 2018",N,N,20180201.000
40271,CLRVDK,"February, 2018",N,N,20180201.000
40205,CLRVFE,"February, 2018",N,,20180201.000
29907,CLRVIL,"February, 2018",N,N,20180201.000
29912,CLRVMD,"February, 2018",Y,Y,20180201.000
29909,CLRVNJ,"February, 2018",Y,Y,20180201.000
29910,CLRVOH,"February, 2018",N,N,20180201.000
29911,CLRVPA,"February, 2018",Y,Y,20180201.000
40272,CLRVPN,"February, 2018",N,N,20180201.000
40206,CLRVPP,"February, 2018",N,N,20180201.000
40208,CLRVWP,"February, 2018",N,N,20180201.000
37724,CNEAEP,"February, 2018",N,N,20180201.000
37725,CNEDAY,"February, 2018",N,N,20180201.000
37726,CNEDEO,"February, 2018",N,N,20180201.000
42825,CNEFE,"February, 2018",N,,20180201.000
42870,CNEIC,"February, 2018",,N,20180201.000
42869,CNEOE,"February, 2018",,N,20180201.000
42871,CNEPNM,"February, 2018",Y,Y,20180201.000
45107,CNEPP,"February, 2018",N,N,20180201.000
42868,CNETE,"February, 2018",,N,20180201.000
26726,COLGCE,"February, 2018",N,N,20180201.000
1245,COMMUE,"February, 2018",Y,Y,20180201.000
29955,COMMWP,"February, 2018",N,N,20180201.000
27066,CONDSS,"February, 2018",N,N,20180201.000
22661,CONFRA,"February, 2018",N,N,20180201.000
31629,CONFSA,"February, 2018",N,N,20180201.000
29703,CONHLA,"February, 2018",N,N,20180201.000
25482,CONHSA,"February, 2018",N,N,20180201.000
30566,CONP15,"February, 2018",N,N,20180201.000
31012,CONP18,"February, 2018",N,,20180201.000
32781,CONP25,"February, 2018",N,N,20180201.000
32782,CONP26,"February, 2018",N,N,20180201.000
32783,CONP27,"February, 2018",N,N,20180201.000
32784,CONP28,"February, 2018",N,N,20180201.000
32785,CONP29,"February, 2018",N,N,20180201.000
31118,CONPCE,"February, 2018",,N,20180201.000
31011,CONPMB,"February, 2018",N,N,20180201.000
31116,CONPOE,"February, 2018",,N,20180201.000
20780,CONPS1,"February, 2018",N,,20180201.000
20781,CONPS2,"February, 2018",N,N,20180201.000
20900,CONPS4,"February, 2018",N,N,20180201.000
20901,CONPS5,"February, 2018",N,N,20180201.000
24584,CONPS7,"February, 2018",N,N,20180201.000
24585,CONPS8,"February, 2018",N,N,20180201.000
31117,CONPTE,"February, 2018",,N,20180201.000
300,CPP,"February, 2018",N,N,20180201.000
38183,CRNTAE,"February, 2018",N,N,20180201.000
35646,CRNTCI,"February, 2018",,N,20180201.000
35648,CRNTFE,"February, 2018",N,,20180201.000
35645,CRNTOE,"February, 2018",,N,20180201.000
44881,CRTDEO,"February, 2018",N,N,20180201.000
17733,CSSC,"February, 2018",N,N,20180201.000
12063,CSUSA,"February, 2018",N,N,20180201.000
12179,CTZECL,"February, 2018",N,,20180201.000
8165,CVEC,"February, 2018",Y,Y,20180201.000
30138,DAYAGA,"February, 2018",N,N,20180201.000
32238,DAYAP2,"February, 2018",N,N,20180201.000
31168,DAYCEA,"February, 2018",,N,20180201.000
30736,DAYDK3,"February, 2018",N,N,20180201.000
30737,DAYDK4,"February, 2018",N,N,20180201.000
32475,DAYDK5,"February, 2018",N,N,20180201.000
10875,DAYEDC,"February, 2018",N,,20180201.000
31167,DAYOEA,"February, 2018",N,N,20180201.000
31169,DAYTEA,"February, 2018",,N,20180201.000
33226,DEBAOH,"February, 2018",,N,20180201.000
25256,DEBAPM,"February, 2018",,N,20180201.000
23376,DEBCAR,"February, 2018",N,N,20180201.000
30690,DEBDAY,"February, 2018",N,N,20180201.000
23128,DEBDEO,"February, 2018",N,N,20180201.000
35757,DEBFEO,"February, 2018",N,,20180201.000
20881,DEBIC,"February, 2018",,N,20180201.000
20882,DEBOE,"February, 2018",,N,20180201.000
20884,DEBPPC,"February, 2018",,N,20180201.000
20883,DEBTE,"February, 2018",,N,20180201.000
45067,DEBWPP,"February, 2018",,N,20180201.000
20974,DECRFE,"February, 2018",N,,20180201.000
20965,DECRIC,"February, 2018",,N,20180201.000
20966,DECROE,"February, 2018",,N,20180201.000
20967,DECRTE,"February, 2018",,N,20180201.000
26905,DEGDEO,"February, 2018",N,N,20180201.000
20129,DEK,"February, 2018",Y,Y,20180201.000
4722,DEMEC,"February, 2018",N,N,20180201.000
22829,DEOEDC,"February, 2018",N,,20180201.000
30502,DERCEI,"February, 2018",,N,20180201.000
30691,DERDAY,"February, 2018",N,N,20180201.000
35783,DERFEO,"February, 2018",N,,20180201.000
30503,DEROE,"February, 2018",,N,20180201.000
16628,DERSR1,"February, 2018",N,N,20180201.000
16629,DERSR2,"February, 2018",N,N,20180201.000
16631,DERSR4,"February, 2018",N,N,20180201.000
23620,DERSR6,"February, 2018",N,N,20180201.000
23623,DERSR9,"February, 2018",N,N,20180201.000
30504,DERTE,"February, 2018",,N,20180201.000
19709,DEVPEP,"February, 2018",N,N,20180201.000
18438,DISCEG,"February, 2018",Y,Y,20180201.000
27015,DISDEO,"February, 2018",N,N,20180201.000
27056,DISPWR,"February, 2018",Y,Y,20180201.000
29605,DLCF13,"February, 2018",,N,20180201.000
29607,DLCF15,"February, 2018",,N,20180201.000
29647,DLCF17,"February, 2018",,N,20180201.000
29648,DLCF18,"February, 2018",,N,20180201.000
30633,DLCF24,"February, 2018",,N,20180201.000
30996,DLCF25,"February, 2018",,N,20180201.000
32392,DLCF31,"February, 2018",,N,20180201.000
33285,DLCF35,"February, 2018",,N,20180201.000
38163,DLCF36,"February, 2018",,N,20180201.000
38164,DLCF37,"February, 2018",,N,20180201.000
41285,DLCF39,"February, 2018",,N,20180201.000
41286,DLCF40,"February, 2018",,N,20180201.000
41287,DLCF41,"February, 2018",,N,20180201.000
41288,DLCF42,"February, 2018",,N,20180201.000
41289,DLCF43,"February, 2018",,N,20180201.000
41290,DLCF44,"February, 2018",,N,20180201.000
41292,DLCF46,"February, 2018",,N,20180201.000
41293,DLCF47,"February, 2018",,N,20180201.000
42443,DLCF48,"February, 2018",,N,20180201.000
44504,DLCF49,"February, 2018",,N,20180201.000
275,DLCO,"February, 2018",N,,20180201.000
36791,DMTDUQ,"February, 2018",N,N,20180201.000
36794,DMTMED,"February, 2018",N,N,20180201.000
36793,DMTPEN,"February, 2018",N,N,20180201.000
36364,DMTPPR,"February, 2018",N,N,20180201.000
41295,DMTU12,"February, 2018",N,N,20180201.000
41294,DMTU6,"February, 2018",N,N,20180201.000
36365,DMTWPR,"February, 2018",N,N,20180201.000
